key=of   value=2526
key=guess,   value=4
key=to-morrow--supposing   value=1
key=implicate,   value=1
key=armies--they   value=1
key=hindering.   value=1
key=river-fog,   value=1
key=infantry   value=4
key=dash   value=2
key=Lestithiel   value=3
key=free."   value=1
key=pondering.   value=2
key=shrugged   value=1
key=shoulders.   value=1
key=lantern-light,   value=2
key=outlines   value=1
key=depicted--_azure_,   value=1
key=Edward   value=1
key=Paris,   value=2
key=wrongfully   value=1
key=decide   value=5
key=_azure_,   value=1
key=converse   value=1
key=dispute.   value=1
key=tales.   value=1
key=dispossessed   value=1
key=surely   value=5
key=straws?"   value=1
key=complacency.   value=1
key=pallet   value=1
key=posture,   value=2
key=Grylls--who,   value=1
key=sleep;   value=1
key=motioned   value=2
key=questioning,   value=1
key=cautiously   value=3
key=boots.   value=1
key=puckered   value=1
key=studying   value=3
key="Rouse   value=1
key=side--softly   value=1
key=can!   value=1
key=useful."   value=1
key=order:   value=1
key=caution;   value=1
key=staring,   value=1
key=know!"   value=1
key=muttered   value=2
key="May   value=2
key=Sir----"   value=1
key=chancel,   value=1
key=foggily--one   value=1
key=tilted   value=2
key=pulpit-desk,   value=1
key=choir-stalls   value=1
key=snoring.   value=1
key=guard,   value=1
key=sentries   value=1
key=projects   value=1
key=beckoned   value=2
key=dart   value=1
key=forward;   value=2
key=pointing   value=7
key=shoes.   value=4
key=spire,   value=2
key=belfries   value=1
key=stair,   value=1
key=During   value=2
key=followed   value=57
key=meant,   value=1
key=protest.   value=1
key=comrades   value=3
key=scraping   value=1
key=aloft.   value=1
key=footstep   value=2
key=rungs;   value=1
key=snored   value=1
key=Five   value=1
key=stealing   value=1
key=sweat.   value=1
key=trap   value=4
key=candle   value=5
key=ladder's   value=2
key=tallow   value=1
key=bolt--or   value=1
key=creak.   value=1
key=sleepers   value=1
key=alarm.   value=2
key=mount.   value=1
key=senior   value=2
key=command,   value=2
key=supposed   value=6
key=uncommon   value=1
key=retreating   value=5
key=commanding   value=5
key=rung   value=1
key=above,   value=8
key=rope   value=3
key=sprung   value=3
key=pavement   value=6
key="Hoist!"   value=1
key=clambering   value=2
key=might,   value=1
key=crookt   value=1
key="'Hoist'   value=1
key=is!"   value=1
key=below--and   value=1
key=him!   value=3
key=One,   value=1
key=hearties!"   value=1
key=nave   value=1
key=run.   value=2
key=remember   value=6
key=muskets.   value=1
key=arch   value=1
key=stairway   value=1
key=heads.   value=3
key=leaped   value=1
key=god.   value=1
key=oak,   value=1
key=Directly   value=1
key=spiders,   value=1
key=swaying:   value=1
key=chilly   value=2
key=chamber,   value=2
key=sides.   value=2
key=foreseeing   value=1
key=muskets,   value=2
key=firing   value=4
key=boards   value=1
key=solid;   value=1
key=bivouacs   value=1
key=windows.   value=1
key=helped   value=4
key=nothing,   value=5
key=steep,   value=1
key=entrance--striking   value=1
key=cleverer   value=2
key=marksmen   value=1
key=thence   value=2
key=peppered   value=1
key=hotly:   value=1
key=Slipping   value=1
key=window-sconces   value=1
key=musketeers   value=1
key=reasonably   value=1
key=contains   value=1
key=cannot."   value=1
key="which   value=1
key=crazed?"   value=1
key="Day   value=1
key=already!   value=1
key=us?"   value=3
key=moon,"   value=1
key=somewhat   value=13
key=sped   value=1
key=rarely   value=2
key=fesses   value=1
key=bends,   value=1
key=counter-paleys   value=1
key=listen   value=2
key=roused   value=1
key=haste,   value=1
key=tone   value=4
key=towering   value=1
key=service,   value=2
key=parley   value=2
key=shooting   value=2
key=disadvantage."   value=1
key=instantly,   value=1
key=prisoner   value=3
key=overlook   value=1
key=escapade."   value=1
key=formed   value=4
key=injurious.   value=1
key=engaging   value=1
key=solemnly   value=1
key=harm."   value=1
key=height   value=2
key=cricking   value=1
key=neck   value=2
key=world.   value=2
key=mother's   value=2
key=smiling,   value=1
key=rosy   value=1
key=light.   value=2
key="don't   value=2
key=reduce   value=2
key='twill   value=1
key=clear.   value=1
key=ragged   value=2
key=Do   value=8
key=Wyvern?"   value=1
key=TRAP.]   value=1
key=praised,   value=2
key=do!"   value=1
key=see--another   value=1
key=stronger   value=9
key=ford   value=1
key=capering   value=1
key=joy;   value=1
key=troops   value=5
key=glittering   value=1
key=threatening.   value=2
key=Go   value=2
key=rebels!"   value=1
key=afresh   value=1
key=remained   value=4
key=quiet--I   value=1
key=white.   value=2
key=villains!"   value=1
key=gasped   value=1
key=powder--there--right   value=1
key=us!"   value=2
key=pointed,   value=2
key=air?   value=1
key=decide."   value=1
key=sincerely:   value=1
key=life."   value=1
key=composure.   value=1
key="'twas   value=1
key=going,   value=1
key=gloomy   value=1
key=whom--as   value=1
key=station--I   value=1
key=besides,   value=3
key=Wilkes   value=3
key=growling   value=1
key=stomach.   value=1
key="Suppose   value=1
key=troop,   value=1
key=short.   value=1
key=Didn't   value=1
key=service?   value=1
key=Very   value=8
key=damned   value=1
key=faces.   value=2
key=it--in   value=1
key=up,"   value=1
key=defiance   value=1
key=grossest   value=1
key=beams:   value=2
key=lying,   value=2
key=God.   value=1
key=slow-match   value=1
key=all.   value=10
key=come?"   value=1
key=straws   value=1
key=heap   value=3
key=us--so   value=1
key=rocked   value=2
key=downrush   value=2
key=slates   value=1
key=stones   value=2
key=beams,   value=1
key=jagged   value=1
key=smoke,   value=2
key=Beside   value=2
key=limewash   value=1
key=cobwebs.   value=1
key=Trecarrel.   value=1
key=disengaged   value=1
key=lime   value=1
key=bruises,   value=1
key=scratch.   value=1
key=shaken   value=3
key=wits   value=1
key=mercifully   value=1
key=cage   value=1
key=uninjured.   value=1
key=pierce   value=1
key=bells'   value=1
key=throats.   value=1
key=clappers   value=1
key=swaying.   value=1
key=falling;   value=1
key=delay:   value=1
key=terror   value=11
key=bells,   value=1
key=lowering   value=3
key=speed.   value=3
key=Fast   value=1
key=obeyed   value=2
key=mount,   value=2
key=steadied   value=1
key=story.   value=2
key=weeks,   value=2
key=tottering.   value=1
key=arcade   value=1
key=prone.   value=1
key=pane   value=1
key=windows:   value=1
key=marvelling   value=1
key=strewn   value=3
key=shoeless   value=1
key=overtook   value=3
key=halt   value=3
key=re-forming   value=1
key=bridge-end   value=4
key=Half   value=2
key=corpse   value=3
key=hedgerow   value=1
key=march.   value=2
key=killed   value=1
key=lately   value=2
key=REPORTED   value=1
key=TALE   value=1
key=southern   value=1
key=River,   value=4
key=paradise   value=1
key=Falmouth   value=6
key=dreadful   value=4
key=Wilson   value=1
key=painted;   value=1
key=broad-bosomed,   value=1
key=maternally   value=1
key=crook'd,   value=1
key=brooding   value=1
key=creeks   value=2
key=oaks   value=1
key=branches   value=2
key=tides,   value=1
key=herons   value=2
key=sandpipers--   value=1
key=_Helford   value=1
key=Blessèd   value=1
key=sailed   value=2
key=Durgan   value=2
key=sea...._   value=1
key=three-quarters   value=2
key=ferry-crossing   value=1
key=anchorage)   value=1
key=Frenchman's,   value=1
key=dismantled   value=1
key=walls.   value=1
key=explain.   value=1
key=spot   value=5
key=grandfather,   value=18
key=it--as   value=2
key=scenery.   value=1
key=would:   value=1
key=relate   value=1
key=verderer   value=1
key=temper   value=4
key=shortening   value=1
key=Manaccan   value=5
key=mild   value=3
key=Bligh,   value=10
key=Tudy   value=1
key=dismal   value=2
key=man--"Breadfruit   value=1
key=end,   value=3
key=(and   value=4
key=why)   value=1
key=item   value=1
key=Turk   value=1
key=Seemed   value=1
key=tenderness   value=1
key=_Bounty_   value=1
key=Bligh.   value=3
key=post-captain   value=1
key=handle   value=5
key=dogs!"--that's   value=1
key=graciously   value=2
key=rope-end   value=1
key=Fleet.   value=1
key=That's   value=2
key=sailing,   value=1
key=hope!"   value=1
key=triced   value=1
key=fishes   value=1
key=eighteen-pound   value=1
key=chains   value=1
key=science,   value=1
key=Governor   value=1
key=Wales.   value=1
key=heels.   value=1
key=farewell   value=1
key=Admiral;   value=1
key=did,   value=5
key=Blue   value=2
key=Providence   value=1
key=Australia,   value=1
key=far-away   value=2
key=place;   value=1
key=complained   value=1
key=packed   value=3
key=his,   value=1
key=Sharl,   value=3
key=Lisbon   value=4
key=Torpoint   value=4
key=Ferry:   value=1
key=coach,   value=2
key=Mrs.   value=51
key=week's   value=2
key=Polwhele   value=26
key=waterman's   value=1
key=thunderstorm   value=2
key=coming."   value=1
key=Sure   value=2
key=bang   value=3
key=floods   value=1
key=minutes'   value=2
key=quay   value=1
key=colour   value=10
key=singing,   value=1
key=sun;   value=2
key=gingerly   value=1
key=landlady's   value=1
key=pattens,   value=1
key=start,   value=1
key=luggage,   value=1
key=box-seat   value=1
key=fight.   value=1
key=coax   value=1
key=thunder,   value=1
key=upstair,   value=1
key=waiting.   value=1
key=timmersome   value=1
key=danger's   value=1
key=belongings   value=1
key=commotion,   value=1
key=waiting;   value=1
key=_that_   value=4
key=nervous!   value=1
key=Most   value=4
key=crossing--most   value=1
key=unfortunate,   value=1
key=vow!   value=1
key=unpleasant   value=1
key=clothes,   value=4
key=especially   value=6
key=accustomed   value=2
key=puts   value=4
key=hasn't   value=2
key=double-aired   value=1
key=certainty.   value=1
key=susceptible.   value=1
key=far?   value=1
key=guess:   value=1
key=rattling   value=4
key=soul--settling   value=1
key=breath--when   value=1
key=stare.   value=1
key=beauty   value=2
key=scar   value=2
key=Hastiness,   value=1
key=seems,   value=1
key=insolent   value=2
key=begins   value=5
key=loud   value=1
key=unmannerly   value=1
key=modern   value=1
key=languages:   value=1
key=nowadays   value=2
key="increased   value=1
key=attention"   value=1
key=eldest   value=3
key=parleyvooing   value=1
key=whenever   value=10
key=governess,   value=1
key=girl's   value=2
key=insolence.   value=1
key=meant.   value=1
key=lingo,   value=1
key=firmly   value=2
key=believed   value=5
key=coach;   value=1
key=herself,   value=1
key=Guard,   value=2
key=handy.   value=1
key=Hosking,   value=1
key=Bligh:   value=1
key=fright   value=1
key=marching   value=2
key=burn   value=1
key=warned   value=3
key=dangerous,   value=2
key=scarlet,   value=1
key=red-coats.   value=1
key=enemies--one   value=1
key=himself--and   value=1
key=nerves   value=1
key=shaking;   value=1
key=coach-roof   value=1
key=lady   value=11
key=strangers,   value=1
key=flings   value=1
key=hysterics.   value=1
key=hosses!"   value=1
key=Jim;   value=1
key=screams.   value=1
key=female?"   value=1
key=yourself,"   value=1
key=passion.   value=1
key=Polwhele's   value=2
key=cussed   value=1
key=rudeness   value=1
key=help."   value=1
key="Pitch   value=2
key=lady's   value=4
key=Ferry,   value=1
key=jump   value=1
key=parcel   value=2
key=mud,   value=2
key=fashion.   value=2
key=ostler   value=1
key=landlady   value=1
key=Highflyer,   value=1
key=yet:   value=1
key=behave   value=1
key=fight:   value=1
key=innocent   value=2
key="Carry   value=1
key=Come   value=3
key=me!"   value=2
key=gentle-like,   value=1
key=peace.   value=2
key=friend!"   value=2
key=Friend   value=1
key=veil."   value=1
key=further.   value=2
key=Germans:   value=1
key=traps,   value=1
key=bed:   value=1
key=farm-boy   value=1
key=chaise   value=3
key=recovered.   value=1
key=tempers.   value=1
key=night--and   value=1
key=Parson   value=34
key=awake.   value=1
key=love,"   value=2
key=aside,   value=2
key="beg   value=1
key=pardon."   value=1
key=kissed   value=2
key=recover,   value=1
key=sorry,   value=1
key=missus   value=1
key=Germans,   value=1
key=road."   value=1
key=thundering   value=1
key=museum,"   value=1
key=declare.   value=1
key=thankful   value=1
key=God,   value=1
key=dusted."   value=1
key=morning.   value=2
key="Taken   value=1
key=Mary--my   value=1
key=Mary!"   value=2
key=Jim,   value=1
key=could;   value=1
key=eagle,   value=1
key=persuading   value=1
key=post-boy   value=2
key=midnight   value=2
key=launched   value=2
key=speed,   value=3
key=slap   value=1
key=proceeding   value=4
key=ahead.   value=5
key=narrowly   value=1
key=doubling   value=3
key=cocked   value=2
key=hat;   value=1
key=boys   value=1
key=smash,   value=1
key=Richard!   value=1
key=possibly   value=4
key=drying   value=1
key="Because   value=2
key=parcels,   value=2
key=dearest.   value=1
key=flat-iron.   value=1
key="we've   value=1
key=chaises.   value=1
key=thousand   value=11
key=grumbled   value=1
key=bit;   value=1
key=packages   value=1
key=chaise--that   value=1
key=procession   value=3
key=bouncing   value=1
key=love?"   value=1
key=overtaking   value=2
key=occurs   value=3
key=angel,   value=2
key=_my_   value=1
key=wedged."   value=1
key=happen   value=6
key=move,"   value=1
key=Austell,   value=1
key=husband.   value=1
key=asked,   value=5
key=sobbed   value=1
key=aloud;   value=1
key=impossible,"   value=1
key=Guernsey   value=1
key=wretch   value=1
key=3:   value=1
key=agent."]   value=1
key=ferry,   value=1
key=passengers."   value=1
key=I?   value=2
key=travel   value=1
key=now--I   value=1
key=careful,   value=1
key=out--you   value=1
key=Moldavia   value=1
key=cap,   value=2
key=twenty-three   value=1
key=Tuesday,   value=1
key=jelly,   value=2
key=danced   value=1
key=tears,   value=1
key=travelling   value=2
key=badly,   value=1
key=out:   value=1
key="Prisoners   value=1
key=prisoners,   value=1
key=There,   value=3
key=ferry-boat   value=1
key=Mawnan   value=2
key=Calvin!"   value=3
key=away?"   value=1
key="Aw,   value=2
key=come--yea,   value=1
key='nuff.   value=1
key=a-been   value=1
key=time!"   value=2
key=answers,   value=2
key=relief   value=2
key=foreshore,   value=1
key=Spry   value=8
key=following.   value=1
key=three,   value=3
key=rock   value=2
key=whitewash.   value=2
key=cliff,   value=4
key=Peace,   value=1
key=d'ee   value=4
key=person   value=13
key=parish?"   value=1
key=Inn,   value=1
key=liquors.   value=1
key=grandfather.   value=6
key=don't,   value=1
key=please."   value=3
key=splashes   value=2
key=Porthnavas   value=1
key=mouth;   value=1
key=church-tower   value=1
key=lick   value=1
key=brush.   value=1
key="But,"   value=1
key=puzzled,   value=2
key="all   value=1
key=is."   value=1
key=modest-like;   value=1
key=flags,   value=1
key="Nonsense,   value=1
key=say----"   value=1
key=can't;   value=1
key=minister   value=1
key=insist   value=1
key=statements   value=4
key=marriage   value=1
key=confident,   value=1
key=grave,   value=1
key=name."   value=2
key=did.   value=4
key=he?"   value=1
key=shape,   value=1
key=language   value=5
key=lets   value=1
